id,name,address,employeeCount,retailSpace
1,Christiansen-Conn,310 East Park,14,138
2,Quitzon-Lowe,550 Maryland Hill,3,199
3,"Sporer, Johnson and Eichmann",94 Heffernan Alley,7,106
4,Mraz-Kub,3018 Forest Run Street,17,342
5,"Ondricka, Carter and Ratke",29 Ohio Hill,14,55
6,"Wisozk, Ledner and Bosco",3851 Straubel Point,10,77
7,Lubowitz-Sporer,12 Welch Court,16,123
8,"Kemmer, Gaylord and Swift",9 Warner Circle,5,328
9,Purdy-Swaniawski,584 4th Avenue,14,332
10,Swaniawski-Heidenreich,51 Monica Hill,9,88
11,Senger Inc,853 Dakota Terrace,17,496
12,"Wintheiser, Torp and Stoltenberg",0158 Susan Circle,7,295
13,"Schmitt, Russel and Lang",37627 Warrior Way,10,469
14,Heller Inc,0340 Hovde Parkway,13,80
15,Rolfson-Herzog,8597 Little Fleur Court,10,96
16,"Zieme, Larkin and Price",240 Service Way,6,272
17,"McClure, Medhurst and Ebert",17 1st Plaza,0,454
18,"Mills, Block and Huels",4678 Kinsman Park,17,185
19,Labadie-Kunde,61230 Caliangt Hill,20,77
20,"Balistreri, Bergnaum and Armstrong",3707 Meadow Vale Hill,16,162
21,Macejkovic and Sons,1 Sutteridge Place,5,172
22,"Pacocha, Morar and Lehner",6280 Browning Trail,19,191
23,Schiller Inc,2935 East Court,17,107
24,"Bartoletti, Kassulke and Hessel",94 Thompson Way,6,20
25,Beahan-Padberg,44 Bobwhite Crossing,8,135
26,Schultz and Sons,34847 Shelley Court,19,274
27,"Lesch, Muller and Muller",5602 Fairfield Crossing,7,61
28,Labadie-Harber,0368 Park Meadow Center,11,326
29,Thompson-Kuvalis,8157 Sullivan Point,9,278
30,"Miller, Lehner and Ziemann",2229 Burning Wood Court,8,265
31,"Klocko, Larson and Rempel",2 Merrick Park,20,310
32,Schroeder Inc,57847 Calypso Lane,19,144
33,"Rohan, Bashirian and Heidenreich",24492 Paget Pass,4,499
34,Hirthe-Sawayn,084 Bartillon Court,9,223
