id;name;address;employeeCount;retailSpace;ownerId
1;Christiansen-Conn;310 East Park;14;138;1
2;Quitzon-Lowe;550 Maryland Hill;3;199;2
3;Sporer, Johnson and Eichmann;94 Heffernan Alley;7;106;3
4;Mraz-Kub;3018 Forest Run Street;17;342;4
5;Ondricka, Carter and Ratke;29 Ohio Hill;14;55;5
6;Wisozk, Ledner and Bosco;3851 Straubel Point;10;77;6
7;Lubowitz-Sporer;12 Welch Court;16;123;7
8;Kemmer, Gaylord and Swift;9 Warner Circle;5;328;8
9;Purdy-Swaniawski;584 4th Avenue;14;332;9
10;Swaniawski-Heidenreich;51 Monica Hill;9;88;10
11;Senger Inc;853 Dakota Terrace;17;496;11
12;Wintheiser, Torp and Stoltenberg;0158 Susan Circle;7;295;12
13;Schmitt, Russel and Lang;37627 Warrior Way;10;469;13
14;Heller Inc;0340 Hovde Parkway;13;80;14
15;Rolfson-Herzog;8597 Little Fleur Court;10;96;15
16;Zieme, Larkin and Price;240 Service Way;6;272;16
17;McClure, Medhurst and Ebert;17 1st Plaza;0;454;17
18;Mills, Block and Huels;4678 Kinsman Park;17;185;18
19;Labadie-Kunde;61230 Caliangt Hill;20;77;19
20;Balistreri, Bergnaum and Armstrong;3707 Meadow Vale Hill;16;162;20
21;Macejkovic and Sons;1 Sutteridge Place;5;172;21
22;Pacocha, Morar and Lehner;6280 Browning Trail;19;191;22
23;Schiller Inc;2935 East Court;17;107;23
24;Bartoletti, Kassulke and Hessel;94 Thompson Way;6;20;24
25;Beahan-Padberg;44 Bobwhite Crossing;8;135;25
26;Schultz and Sons;34847 Shelley Court;19;274;26
27;Lesch, Muller and Muller;5602 Fairfield Crossing;7;61;27
28;Labadie-Harber;0368 Park Meadow Center;11;326;28
29;Thompson-Kuvalis;8157 Sullivan Point;9;278;29
30;Miller, Lehner and Ziemann;2229 Burning Wood Court;8;265;30
31;Klocko, Larson and Rempel;2 Merrick Park;20;310;31
32;Schroeder Inc;57847 Calypso Lane;19;144;32
33;Rohan, Bashirian and Heidenreich;24492 Paget Pass;4;499;33
34;Hirthe-Sawayn;084 Bartillon Court;9;223;34
35;Vandervort Group;8471 Larry Road;2;232;35
36;Shanahan and Sons;263 Hallows Junction;18;96;36
37;Waters, Crooks and Balistreri;426 Drewry Circle;5;172;37
38;Rutherford-Runte;541 Northfield Point;12;100;38
39;Langosh-Reichert;66857 Parkside Road;16;23;39
40;Kuhlman, Bosco and Rath;81172 Sloan Hill;5;39;40
41;Schneider, Champlin and Bayer;05089 Weeping Birch Center;19;187;41
42;Goldner, Homenick and Hauck;1 Lukken Circle;0;67;42
43;Aufderhar Inc;972 American Ash Trail;12;293;43
44;Kub, Brekke and Tillman;08293 Dorton Pass;12;355;44
45;O'Conner-Kunde;73498 Glacier Hill Way;8;451;45
46;Glover, Nienow and Tromp;06 Dottie Terrace;19;195;46
47;Kihn and Sons;60 Morning Alley;20;67;47
48;Nitzsche, Haag and Gleichner;277 Kennedy Terrace;1;476;48
49;Mayert LLC;632 Meadow Ridge Drive;6;286;49
50;Price-Lockman;723 Scofield Pass;4;176;50
51;Ledner, Turner and Gislason;7835 Hagan Street;7;206;51
52;Yundt-Conn;987 Fordem Pass;19;302;52
53;Mayert, Volkman and Wintheiser;793 Bay Avenue;1;90;53
54;Prohaska, Lueilwitz and Stehr;2 Boyd Road;18;271;54
55;Bechtelar, Ullrich and Morissette;8 Shasta Parkway;6;497;55
56;Marquardt LLC;55 Mcguire Lane;9;23;56
57;Schmidt, Kuhlman and Mertz;6600 Troy Alley;16;404;57
58;Turner, Schmidt and Murphy;30 Scoville Plaza;20;169;58
59;Sanford-Kiehn;85468 Delaware Parkway;6;287;59
60;Veum Inc;482 Mandrake Center;11;306;60
61;Ortiz LLC;40458 8th Avenue;13;480;61
