id;advertisement_expenses;expenses;income;date;business_id
1;18360;77504;72513;2020-01-01;1
2;23246;60541;549306;2020-02-01;1
3;9012;46486;498170;2020-03-01;1
4;16605;37269;196226;2020-04-01;1
5;9454;20167;513330;2020-05-01;1
6;12956;74808;302677;2020-01-01;2
7;1286;68770;276153;2020-02-01;2
8;17561;97758;215100;2020-03-01;2
9;24245;27319;990323;2020-04-01;2
10;24456;66477;240020;2020-05-01;2
11;2977;85845;768834;2020-01-01;3
12;7152;84469;245321;2020-02-01;3
13;21547;82896;238452;2020-03-01;3
14;20654;99880;610240;2020-04-01;3
15;6011;36697;860706;2020-05-01;3
16;12113;18252;201143;2020-01-01;4
17;5727;89481;504828;2020-02-01;4
18;11433;62904;342172;2020-03-01;4
19;9815;87717;624283;2020-04-01;4
20;21451;28675;298032;2020-05-01;4
21;456;82831;394464;2020-01-01;5
22;9940;82052;918018;2020-02-01;5
23;20863;15957;655153;2020-03-01;5
24;23597;75734;765198;2020-04-01;5
25;20473;20966;104913;2020-05-01;5
26;5984;13923;133159;2020-01-01;6
27;11431;19882;222799;2020-02-01;6
28;2064;75867;980009;2020-03-01;6
29;19218;30255;678325;2020-04-01;6
30;7031;84248;224664;2020-05-01;6
31;2572;49342;94137;2020-01-01;7
32;2718;27298;572385;2020-02-01;7
33;21451;30941;429734;2020-03-01;7
34;22885;75302;120220;2020-04-01;7
35;16248;91637;657213;2020-05-01;7
36;10457;50979;818316;2020-01-01;8
37;21017;54291;611818;2020-02-01;8
38;7627;10536;368666;2020-03-01;8
39;13986;67309;281808;2020-04-01;8
40;14718;84756;352670;2020-05-01;8
41;10585;37235;71059;2020-01-01;9
42;9094;34288;36231;2020-02-01;9
43;23550;34652;788559;2020-03-01;9
44;8719;70629;274521;2020-04-01;9
45;20570;88049;902180;2020-05-01;9
46;23453;12575;948484;2020-01-01;10
47;15895;43550;462980;2020-02-01;10
48;20100;53049;436691;2020-03-01;10
49;17179;36271;210312;2020-04-01;10
50;23666;44359;214768;2020-05-01;10
51;22173;28668;54049;2020-01-01;11
52;7556;54152;48090;2020-02-01;11
53;23610;17597;108233;2020-03-01;11
54;2074;86494;67235;2020-04-01;11
55;4662;70032;811722;2020-05-01;11
56;16788;53383;977725;2020-01-01;12
57;14539;58199;450986;2020-02-01;12
58;22573;60758;220896;2020-03-01;12
59;10531;84187;776789;2020-04-01;12
60;3981;13602;675443;2020-05-01;12
61;16013;87270;57896;2020-01-01;13
62;4349;61636;900610;2020-02-01;13
63;24236;20352;278257;2020-03-01;13
64;7820;76906;748638;2020-04-01;13
65;11730;50447;505044;2020-05-01;13
66;20076;16848;653263;2020-01-01;14
67;11685;65115;480781;2020-02-01;14
68;326;56107;133761;2020-03-01;14
69;20358;57916;121316;2020-04-01;14
70;18983;51105;333695;2020-05-01;14
71;13817;40794;725111;2020-01-01;15
72;18750;49200;785957;2020-02-01;15
73;20689;35132;268077;2020-03-01;15
74;18390;38104;25581;2020-04-01;15
75;7346;12678;177377;2020-05-01;15
76;6494;53486;711415;2020-01-01;16
77;9130;60801;894648;2020-02-01;16
78;16546;79034;454922;2020-03-01;16
79;6825;63208;662964;2020-04-01;16
80;17818;29344;12566;2020-05-01;16
81;16704;53708;623917;2020-01-01;17
82;10250;56106;729855;2020-02-01;17
83;7273;76316;964702;2020-03-01;17
84;18981;97460;167496;2020-04-01;17
85;24465;15053;217502;2020-05-01;17
86;6041;46035;566723;2020-01-01;18
87;16066;65770;689753;2020-02-01;18
88;22043;79085;781255;2020-03-01;18
89;17893;96613;220520;2020-04-01;18
90;6431;81344;750944;2020-05-01;18
91;19285;35719;871099;2020-01-01;19
92;20742;19299;820295;2020-02-01;19
93;20564;29264;595243;2020-03-01;19
94;16154;37994;534798;2020-04-01;19
95;2604;74670;390816;2020-05-01;19
96;15659;44678;94110;2020-01-01;20
97;19443;30031;835858;2020-02-01;20
98;3515;39037;668963;2020-03-01;20
99;23538;41337;414403;2020-04-01;20
100;11384;30035;945766;2020-05-01;20
101;21382;49173;362971;2020-01-01;21
102;10346;63125;297183;2020-02-01;21
103;5822;14990;947351;2020-03-01;21
104;8218;75563;890921;2020-04-01;21
105;17229;86252;275894;2020-05-01;21
106;777;98708;922099;2020-01-01;22
107;15033;31443;405239;2020-02-01;22
108;2285;93016;324652;2020-03-01;22
