id;date_of_order;date_of_delivery;customer_id
1;2020-01-02;2020-01-18;49
2;2020-01-03;2020-01-19;176
3;2020-01-03;2020-01-11;51
4;2020-01-03;2020-01-09;175
5;2020-01-06;2020-01-09;9
6;2020-01-05;2020-01-14;24
7;2020-01-03;2020-01-19;22
8;2020-01-04;2020-01-28;64
9;2020-01-01;2020-01-20;110
10;2020-01-01;2020-01-11;75
11;2020-01-01;2020-01-12;71
12;2020-01-03;2020-01-16;149
13;2020-01-05;2020-01-17;131
14;2020-01-05;2020-01-30;155
15;2020-01-04;2020-02-03;82
16;2020-01-02;2020-01-24;25
17;2020-01-02;2020-01-26;85
18;2020-01-04;2020-01-21;187
19;2020-01-01;2020-01-25;200
20;2020-01-04;2020-01-25;40
21;2020-01-01;2020-01-06;40
22;2020-01-06;2020-01-12;38
23;2020-01-01;2020-01-15;21
24;2020-01-05;2020-01-28;187
25;2020-01-05;2020-02-02;158
26;2020-01-05;2020-01-13;140
27;2020-01-05;2020-01-27;188
28;2020-01-06;2020-01-29;151
29;2020-01-03;2020-01-31;47
30;2020-01-04;2020-01-28;199
31;2020-01-06;2020-01-27;188
32;2020-01-01;2020-01-22;56
33;2020-01-04;2020-01-16;138
34;2020-01-03;2020-01-13;30
35;2020-01-02;2020-01-25;41
36;2020-01-05;2020-02-02;53
37;2020-01-01;2020-01-27;44
38;2020-01-01;2020-01-24;51
39;2020-01-04;2020-01-20;187
40;2020-01-05;2020-01-11;65
41;2020-01-06;2020-02-01;134
42;2020-01-02;2020-01-15;17
43;2020-01-05;2020-02-01;96
44;2020-01-05;2020-01-20;32
45;2020-01-02;2020-01-24;70
46;2020-01-01;2020-01-30;5
47;2020-01-05;2020-01-10;141
48;2020-01-06;2020-01-30;166
49;2020-01-03;2020-01-07;55
50;2020-01-01;2020-01-05;67
51;2020-01-04;2020-01-13;113
52;2020-01-06;2020-02-03;176
53;2020-01-05;2020-02-02;137
54;2020-01-06;2020-01-10;171
55;2020-01-01;2020-01-07;178
56;2020-01-03;2020-01-29;197
57;2020-01-06;2020-01-19;27
58;2020-01-01;2020-01-23;132
59;2020-01-05;2020-01-10;75
60;2020-01-04;2020-01-26;23
61;2020-01-03;2020-01-12;195
62;2020-01-02;2020-01-10;143
63;2020-01-01;2020-01-17;26
64;2020-01-04;2020-01-26;148
65;2020-01-02;2020-01-28;195
66;2020-01-04;2020-01-22;199
67;2020-01-06;2020-01-23;34
68;2020-01-04;2020-01-21;9
69;2020-01-03;2020-01-13;20
70;2020-01-05;2020-01-11;66
71;2020-01-01;2020-01-26;135
72;2020-01-06;2020-01-23;140
73;2020-01-02;2020-01-18;192
74;2020-01-01;2020-01-19;38
75;2020-01-03;2020-01-11;169
76;2020-01-02;2020-01-25;97
77;2020-01-05;2020-01-26;143
78;2020-01-03;2020-01-06;8
79;2020-01-06;2020-01-14;172
80;2020-01-02;2020-01-08;175
81;2020-01-01;2020-01-29;191
82;2020-01-03;2020-01-14;152
83;2020-01-01;2020-01-27;48
84;2020-01-01;2020-01-31;149
85;2020-01-04;2020-01-08;59
86;2020-01-04;2020-01-28;9
87;2020-01-04;2020-02-02;58
88;2020-01-03;2020-01-25;18
89;2020-01-01;2020-01-19;187
90;2020-01-02;2020-01-23;54
91;2020-01-03;2020-01-22;7
92;2020-01-04;2020-01-13;94
93;2020-01-04;2020-01-23;25
94;2020-01-03;2020-01-12;176
95;2020-01-05;2020-01-22;39
96;2020-01-05;2020-01-26;21
97;2020-01-02;2020-01-28;65
98;2020-01-03;2020-01-09;141
99;2020-01-06;2020-01-15;178
100;2020-01-03;2020-02-02;73
101;2020-01-05;2020-01-17;126
102;2020-01-06;2020-01-11;106
103;2020-01-06;2020-02-01;176
104;2020-01-06;2020-01-13;60
105;2020-01-05;2020-01-22;83
106;2020-01-02;2020-01-17;101
107;2020-01-01;2020-01-09;31
108;2020-01-06;2020-01-13;98
109;2020-01-04;2020-01-14;112
110;2020-01-04;2020-01-30;162
111;2020-01-04;2020-01-27;102
112;2020-01-03;2020-01-26;153
113;2020-01-04;2020-01-29;98
114;2020-01-05;2020-01-18;70
115;2020-01-06;2020-01-22;183
116;2020-01-05;2020-02-01;102
117;2020-01-04;2020-01-14;66
118;2020-01-01;2020-01-26;111
119;2020-01-02;2020-01-22;68
120;2020-01-02;2020-01-23;65
121;2020-01-03;2020-01-30;36
122;2020-01-01;2020-01-17;18
123;2020-01-06;2020-01-23;145
124;2020-01-02;2020-01-24;43
125;2020-01-05;2020-01-17;162
126;2020-01-03;2020-01-07;68
127;2020-01-04;2020-01-12;198
128;2020-01-06;2020-02-04;120
129;2020-01-02;2020-01-24;95
130;2020-01-05;2020-01-25;118
131;2020-01-01;2020-01-31;32
132;2020-01-01;2020-01-18;65
133;2020-01-06;2020-02-03;183
134;2020-01-06;2020-01-25;75
135;2020-01-06;2020-01-16;114
136;2020-01-04;2020-02-01;114
137;2020-01-05;2020-01-21;68
138;2020-01-01;2020-01-16;167
139;2020-01-03;2020-01-10;30
140;2020-01-05;2020-01-09;179
141;2020-01-03;2020-01-06;27
142;2020-01-03;2020-01-28;164
143;2020-01-02;2020-01-16;162
144;2020-01-03;2020-01-10;100
145;2020-01-03;2020-01-30;57
146;2020-01-03;2020-01-18;58
147;2020-01-01;2020-01-23;99
148;2020-01-04;2020-01-11;141
149;2020-01-06;2020-01-14;24
150;2020-01-06;2020-01-13;170
151;2020-01-03;2020-01-11;42
152;2020-01-04;2020-01-31;83
153;2020-01-05;2020-01-27;143
154;2020-01-04;2020-01-07;178
155;2020-01-06;2020-01-28;8
156;2020-01-06;2020-01-30;65
157;2020-01-05;2020-02-03;54
158;2020-01-05;2020-01-19;183
159;2020-01-03;2020-01-10;33
160;2020-01-02;2020-01-31;48
161;2020-01-05;2020-01-21;9
162;2020-01-04;2020-01-24;67
163;2020-01-03;2020-01-21;23
164;2020-01-02;2020-01-26;60
165;2020-01-01;2020-01-06;149
166;2020-01-06;2020-01-19;53
167;2020-01-06;2020-01-22;118
168;2020-01-03;2020-01-07;99
169;2020-01-03;2020-01-20;147
170;2020-01-03;2020-01-10;148
171;2020-01-03;2020-01-20;173
172;2020-01-03;2020-01-28;160
173;2020-01-03;2020-01-10;80
174;2020-01-02;2020-01-21;110
175;2020-01-04;2020-01-08;27
176;2020-01-01;2020-01-28;61
177;2020-01-02;2020-01-24;35
178;2020-01-05;2020-01-26;79
179;2020-01-03;2020-01-30;197
180;2020-01-05;2020-01-23;160
181;2020-01-06;2020-01-25;101
182;2020-01-06;2020-01-20;21
183;2020-01-03;2020-01-28;110
184;2020-01-05;2020-01-12;5
185;2020-01-05;2020-01-24;155
