id,name,price
1,Flax Seed,42.38
2,Shortbread - Cookie Crumbs,41.78
3,"Coffee - Beans, Whole",74.11
4,Pork - Smoked Back Bacon,26.63
5,"Turkey - Breast, Double",79.11
6,Pastry - Lemon Danish - Mini,27.59
7,"Chocolate - Semi Sweet, Calets",95.74
8,Maple Syrup,82.82
9,Dooleys Toffee,8.99
10,Sauce - Cranberry,27.05
11,"Wine - White, Mosel Gold",91.59
12,Spaghetti Squash,6.9
13,Apricots - Dried,21.66
14,"Wine - Red, Wolf Blass, Yellow",44.02
15,"Radish - Black, Winter, Organic",3.95
16,Beer - Mill St Organic,3.55
17,Wine - Taylors Reserve,96.75
18,Puff Pastry - Sheets,54.36
19,Beer - Mill St Organic,17.34
20,Soup - Campbells - Chicken Noodle,5.92
21,Extract Vanilla Pure,33.72
22,Wine - Muscadet Sur Lie,52.2
23,Extract - Almond,32.45
24,Soup Campbells,50.75
25,Pastry - Trippleberry Muffin - Mini,10.78
26,Filter - Coffee,42.36
27,Bread - Wheat Baguette,93.99
28,Cake - Miini Cheesecake Cherry,69.52
29,Beer - Maudite,51.58
30,Grapes - Red,78.54
31,Muffin - Mix - Bran And Maple 15l,76.08
32,Table Cloth 91x91 Colour,52.45
33,"Pail - 15l White, With Handle",20.94
34,Hersey Shakes,53.77
35,Appetizer - Mango Chevre,40.97
36,"Yeast - Fresh, Fleischman",7.25
37,Bagel - Plain,22.57
38,Wine - Rosso Toscano Igt,91.79
39,Muffin - Zero Transfat,76.01
40,"Stock - Veal, Brown",90.67
41,"Beans - Long, Chinese",9.84
42,Pork Casing,20.96
43,Water - Spring 1.5lit,63.54
44,Toothpick Frilled,97.57
45,Beets - Mini Golden,22.31
46,Bacardi Mojito,88.78
47,Island Oasis - Peach Daiquiri,3.46
48,"Tart Shells - Sweet, 4",28.53
49,"Juice - Tomato, 48 Oz",75.64
50,Mayonnaise,86.78
51,Bagel - Everything Presliced,6.03
52,"Schnappes - Peach, Walkers",64.49
53,"Champagne - Brights, Dry",47.11
54,Appetizer - Smoked Salmon / Dill,89.21
55,Onion - Dried,8.77
56,"Soup - Beef, Base Mix",44.66
57,Tea - Decaf Lipton,38.32
58,"C - Plus, Orange",13.6
59,Graham Cracker Mix,54.45
60,Lettuce - Baby Salad Greens,5.79
61,"Cheese - Brie,danish",40.43
62,Duck - Fat,41.19
63,Pumpkin,96.55
64,Ocean Spray - Ruby Red,87.36
65,"Plate - Foam, Bread And Butter",36.44
66,Blackberries,12.68
67,Sugar - Brown,64.27
68,Bread - Italian Roll With Herbs,9.4
69,Onions - Pearl,33.19
70,Crackers - Water,47.36
71,"Pepper - Chillies, Crushed",97.34
72,Blueberries,15.58
73,Sour Puss Raspberry,82.57
74,Pepper - Red Chili,96.22
75,Foil - Round Foil,96.59
76,Seaweed Green Sheets,81.46
77,Creme De Cacao Mcguines,81.22
78,Jam - Apricot,92.53
79,Chocolate Bar - Coffee Crisp,1.21
80,Truffle Paste,75.35
81,Rabbit - Frozen,51.3
82,Neckerchief Blck,81.14
83,Calypso - Lemonade,32.14
84,Cheese - Sheep Milk,91.62
85,Cranberries - Fresh,82.66
86,True - Vue Containers,15.47
87,"Veal - Inside, Choice",18.14
88,Ginsing - Fresh,52.32
89,Pepsi - 600ml,26.45
90,Sprouts - Peppercress,74.33
91,Napkin Colour,51.67
92,Paper Cocktail Umberlla 80 - 180,69.8
93,"Beef - Baby, Liver",88.51
94,Tea - Lemon Scented,90.25
95,Seabream Whole Farmed,43.06
96,Potato - Sweet,65.65
97,Muffin - Mix - Bran And Maple 15l,73.02
98,Shrimp - Black Tiger 16/20,80.26
99,Piping - Bags Quizna,25.08
100,Muffin Mix - Raisin Bran,23.33
101,Bread - Granary Small Pull,93.26
