id,income,expenses,advertisementExpenses,date
1,916393.0,61589.22,16552.47,2020-03-14
2,232612.93,173981.46,26559.37,2020-01-08
3,608562.0,19902.31,42955.19,2020-01-27
4,772983.66,114262.42,49486.61,2020-03-25
5,579614.47,59190.68,20108.3,2020-03-07
6,356671.02,69459.07,44316.48,2020-04-20
7,36685.66,198293.86,5558.58,2020-01-19
8,114320.64,24817.53,31567.01,2020-02-14
9,950862.52,12927.81,46829.4,2020-01-15
10,542677.41,107109.05,23781.33,2020-04-23
11,61515.81,101106.0,30936.3,2020-03-12
12,16915.31,80822.17,18052.8,2020-03-30
13,759438.77,192895.07,10062.45,2020-01-26
14,113733.28,124402.63,49973.56,2020-04-03
15,325449.78,85319.22,16859.11,2020-04-09
16,37501.27,136482.9,28098.66,2020-02-26
17,183387.74,103447.71,6748.82,2020-02-16
18,43215.73,40276.41,8791.32,2020-05-10
19,339179.46,75799.28,35548.27,2020-04-14
20,266030.64,84714.1,21954.43,2020-01-19
21,589906.0,69676.69,43965.5,2020-05-26
22,259994.13,163196.11,14647.31,2020-03-27
23,543364.06,27304.29,42240.15,2020-01-22
24,190435.29,150109.37,37857.12,2020-04-07
25,567517.77,110289.84,1679.94,2020-02-04
26,33967.8,82374.64,38852.03,2020-01-12
27,49311.97,40427.15,35632.85,2020-05-17
28,92334.94,114988.8,2549.55,2020-03-28
29,650825.35,55380.26,32904.67,2020-06-12
30,534905.9,146007.86,41796.43,2020-01-28
31,875031.22,165496.18,9958.25,2020-03-07
32,819798.34,46192.74,11344.31,2020-05-27
33,907313.55,37562.36,31712.38,2020-03-07
34,722371.74,79335.64,4317.05,2020-04-06
35,386986.6,64176.15,12979.61,2020-04-25
36,269044.35,6627.57,20624.66,2020-01-07
37,550179.56,147004.2,45046.26,2020-03-17
38,52323.54,97254.47,25582.27,2020-03-05
39,493961.15,196467.98,16432.68,2020-03-07
40,157655.15,59431.47,45909.78,2020-06-21
41,227773.09,171707.91,36167.63,2020-03-25
42,206849.97,8758.53,38079.27,2020-06-16
