id,dateOfOrder,dateOfDelivery
1,2020-02-14,2020-03-04
2,2020-05-19,2020-05-23
3,2020-03-17,2020-04-02
4,2020-01-27,2020-01-31
5,2020-01-08,2020-01-12
6,2020-04-16,2020-05-01
7,2020-02-25,2020-03-05
8,2020-05-27,2020-06-09
9,2020-06-24,2020-07-02
10,2020-02-08,2020-02-11
11,2020-03-25,2020-04-04
12,2020-05-10,2020-05-28
13,2020-03-20,2020-03-27
14,2020-04-22,2020-04-26
15,2020-04-10,2020-04-16
16,2020-04-01,2020-04-22
17,2020-05-01,2020-05-20
18,2020-04-08,2020-04-28
19,2020-03-01,2020-03-09
20,2020-04-21,2020-05-06
21,2020-02-18,2020-02-26
22,2020-01-28,2020-02-03
23,2020-01-20,2020-02-07
24,2020-02-28,2020-03-10
25,2020-03-20,2020-04-02
26,2020-06-27,2020-07-10
27,2020-01-03,2020-01-11
28,2020-01-21,2020-02-08
29,2020-03-11,2020-03-21
30,2020-01-17,2020-01-30
31,2020-04-15,2020-05-06
32,2020-01-11,2020-01-29
33,2020-03-13,2020-03-19
34,2020-01-30,2020-02-03
35,2020-03-16,2020-03-23
36,2020-04-16,2020-04-25
37,2020-04-22,2020-04-29
38,2020-05-14,2020-05-27
39,2020-06-02,2020-06-22
40,2020-03-20,2020-03-31
41,2020-06-04,2020-06-19
42,2020-03-18,2020-04-08
43,2020-02-22,2020-03-05
44,2020-05-11,2020-05-31
45,2020-01-29,2020-02-08
46,2020-03-29,2020-04-01
47,2020-04-30,2020-05-21
48,2020-06-05,2020-06-20
49,2020-03-07,2020-03-16
50,2020-05-25,2020-06-06
51,2020-01-11,2020-01-14
52,2020-04-17,2020-05-02
53,2020-02-29,2020-03-21
54,2020-02-14,2020-02-29
55,2020-06-23,2020-06-26
56,2020-02-10,2020-02-13
57,2020-05-28,2020-06-12
58,2020-06-29,2020-07-20
59,2020-02-07,2020-02-27
60,2020-04-19,2020-04-30
61,2020-06-28,2020-07-18
62,2020-05-05,2020-05-22
63,2020-01-13,2020-01-17
64,2020-02-21,2020-03-02
65,2020-01-15,2020-01-19
66,2020-06-10,2020-06-23
67,2020-03-21,2020-03-27
68,2020-06-11,2020-07-02
69,2020-02-15,2020-03-02
70,2020-04-21,2020-05-04
71,2020-05-10,2020-05-28
72,2020-02-07,2020-02-16
73,2020-05-26,2020-06-05
74,2020-03-07,2020-03-27
75,2020-01-04,2020-01-19
76,2020-01-31,2020-02-16
77,2020-06-27,2020-07-15
78,2020-03-08,2020-03-28
79,2020-05-19,2020-05-28
80,2020-01-11,2020-02-01
81,2020-03-15,2020-03-28
82,2020-04-10,2020-04-28
83,2020-02-19,2020-03-04
84,2020-04-13,2020-04-19
85,2020-05-09,2020-05-28
86,2020-04-05,2020-04-10
87,2020-03-15,2020-03-23
88,2020-06-19,2020-07-05
89,2020-04-17,2020-04-25
90,2020-06-17,2020-06-30
91,2020-05-02,2020-05-11
92,2020-04-17,2020-05-03
93,2020-04-10,2020-04-27
94,2020-02-07,2020-02-25
95,2020-02-14,2020-02-26
96,2020-04-17,2020-04-23
97,2020-05-08,2020-05-23
98,2020-03-27,2020-04-09
99,2020-05-05,2020-05-25
100,2020-01-16,2020-01-25
101,2020-06-21,2020-06-25
102,2020-06-26,2020-07-14
103,2020-01-16,2020-01-30
104,2020-06-23,2020-07-11
105,2020-06-11,2020-06-26
106,2020-03-31,2020-04-11
107,2020-06-09,2020-06-14
108,2020-03-25,2020-04-01
109,2020-03-26,2020-03-30
110,2020-01-19,2020-02-02
111,2020-04-19,2020-04-27
112,2020-06-04,2020-06-22
113,2020-06-09,2020-06-28
114,2020-02-09,2020-02-19
115,2020-05-07,2020-05-20
116,2020-04-01,2020-04-22
117,2020-05-08,2020-05-29
118,2020-06-10,2020-06-29
119,2020-01-26,2020-02-09
120,2020-04-23,2020-05-09
121,2020-04-28,2020-05-16
122,2020-02-25,2020-03-17
123,2020-03-19,2020-03-28
124,2020-04-24,2020-05-05
125,2020-05-28,2020-06-03
126,2020-03-18,2020-04-08
127,2020-05-28,2020-06-02
128,2020-05-30,2020-06-11
129,2020-06-27,2020-07-04
130,2020-06-24,2020-07-12
131,2020-06-15,2020-07-04
132,2020-01-13,2020-01-26
133,2020-06-28,2020-07-16
134,2020-03-03,2020-03-20
135,2020-06-27,2020-07-12
136,2020-06-14,2020-06-22
137,2020-04-14,2020-05-02
138,2020-05-12,2020-05-25
139,2020-05-11,2020-05-27
140,2020-01-07,2020-01-20
141,2020-01-04,2020-01-14
142,2020-05-05,2020-05-12
143,2020-05-22,2020-05-30
144,2020-06-20,2020-07-10
145,2020-04-09,2020-04-20
146,2020-06-16,2020-06-28
147,2020-05-06,2020-05-11
148,2020-02-20,2020-03-01
149,2020-01-06,2020-01-27
150,2020-04-13,2020-04-24
151,2020-06-13,2020-07-04
152,2020-05-05,2020-05-10
153,2020-02-06,2020-02-26
154,2020-04-22,2020-05-09
155,2020-01-19,2020-02-03
156,2020-05-11,2020-05-22
157,2020-03-12,2020-03-15
158,2020-01-16,2020-01-19
159,2020-04-08,2020-04-23
160,2020-06-26,2020-07-05
161,2020-05-28,2020-06-03
162,2020-04-30,2020-05-20
163,2020-01-02,2020-01-22
164,2020-02-10,2020-03-02
165,2020-04-02,2020-04-23
166,2020-05-19,2020-05-28
167,2020-03-13,2020-03-30
168,2020-06-23,2020-07-10
169,2020-06-28,2020-07-15
170,2020-04-29,2020-05-11
171,2020-04-01,2020-04-08
172,2020-06-20,2020-07-01
173,2020-02-17,2020-03-04
174,2020-02-29,2020-03-06
175,2020-03-12,2020-03-24
176,2020-05-31,2020-06-20
177,2020-04-29,2020-05-04
178,2020-02-03,2020-02-18
179,2020-03-11,2020-03-20
180,2020-05-15,2020-05-19
181,2020-03-17,2020-03-30
182,2020-02-14,2020-03-01
183,2020-06-05,2020-06-20
184,2020-01-10,2020-01-31
185,2020-05-12,2020-05-31
186,2020-05-07,2020-05-16
187,2020-01-13,2020-01-24
188,2020-06-26,2020-07-06
189,2020-03-27,2020-04-04
190,2020-05-12,2020-05-27
191,2020-01-22,2020-01-30
192,2020-01-25,2020-02-15
193,2020-01-11,2020-02-01
194,2020-06-13,2020-07-02
195,2020-02-27,2020-03-01
196,2020-02-17,2020-02-29
197,2020-04-11,2020-04-30
198,2020-04-06,2020-04-09
199,2020-06-15,2020-06-19
200,2020-02-29,2020-03-09
