businesses_id;orders_id
127;211
29;515
139;174
198;869
170;106
136;804
153;927
101;310
85;515
35;288
82;655
126;72
57;820
42;990
185;957
164;386
55;138
164;25
48;586
104;598
54;764
98;518
3;700
38;819
169;586
112;397
163;958
174;318
14;21
182;792
86;576
2;407
48;116
151;778
7;53
126;606
178;309
61;211
131;593
156;578
122;501
9;813
104;998
108;120
95;678
1;992
154;575
111;982
25;950
117;672
4;519
83;628
200;178
93;106
160;238
92;964
5;275
73;367
33;280
12;727
7;380
142;380
43;605
99;568
98;152
99;208
27;970
92;984
19;28
127;427
101;474
70;553
33;259
157;217
65;919
61;544
43;338
134;238
71;533
134;204
30;70
73;183
128;485
29;582
18;5
22;297
101;971
91;557
154;102
67;586
145;59
157;206
95;189
12;304
192;401
197;249
124;353
101;775
40;65
122;896
93;995
168;951
192;66
135;754
40;521
110;381
70;720
111;42
92;204
51;772
165;509
51;542
45;987
158;44
168;776
129;898
23;708
198;937
188;732
84;765
57;239
39;499
170;342
160;541
19;920
174;495
78;322
88;770
53;160
91;704
139;674
3;464
191;773
184;227
24;271
34;939
120;164
188;379
40;945
39;130
150;198
39;233
37;291
148;747
34;713
131;61
148;713
59;408
170;759
181;887
159;637
72;528
165;259
76;422
78;46
180;817
75;15
132;841
184;931
182;769
101;700
182;688
191;949
191;221
132;206
93;110
38;776
200;625
194;73
29;729
187;148
158;454
71;260
99;941
103;20
2;717
177;968
168;975
161;779
151;613
76;950
132;93
130;997
158;812
36;168
122;543
144;246
196;330
16;228
102;887
31;998
118;506
51;550
146;439
85;753
184;23
104;459
163;973
133;382
60;697
62;37
182;970
149;683
111;664
129;108
169;888
94;317
158;408
154;923
166;61
34;970
74;871
70;721
27;433
170;971
105;882
43;232
35;359
4;704
167;592
188;484
153;382
168;775
77;910
148;279
39;65
92;884
175;769
34;41
177;779
59;866
106;933
160;270
157;210
119;961
119;338
142;539
118;964
35;292
99;750
12;449
128;493
3;398
199;743
140;386
115;400
194;727
35;762
191;491
48;88
79;200
185;886
8;981
16;245
19;360
160;271
65;211
87;120
139;833
103;280
20;563
127;114
9;420
17;630
68;775
29;498
67;806
151;953
103;97
79;500
18;284
40;364
169;506
183;363
146;85
95;377
42;921
153;622
111;341
17;783
57;310
23;316
179;266
54;980
5;756
19;719
189;91
9;985
85;79
21;524
10;97
165;481
105;722
116;112
62;539
115;434
69;936
32;674
164;379
54;554
4;281
17;144
148;9
163;13
94;809
164;233
182;102
148;879
170;19
35;456
110;710
10;695
58;813
93;261
38;219
58;523
163;638
27;632
135;244
166;979
56;558
60;635
79;9
57;494
112;903
51;704
160;610
197;540
2;873
104;495
22;223
25;611
6;748
109;21
63;109
63;116
43;764
117;376
104;387
111;931
55;918
172;151
104;618
99;489
88;48
3;72
187;611
48;599
124;890
19;265
118;616
172;882
149;878
162;970
71;998
50;296
44;699
164;101
23;668
180;665
103;395
29;436
120;902
112;932
143;888
98;890
142;483
88;145
1;866
185;155
137;685
28;544
192;803
127;344
80;630
51;994
84;602
110;220
94;92
195;442
25;993
124;199
61;183
114;746
70;695
110;280
56;555
146;223
70;580
29;400
105;262
149;858
37;541
63;167
32;477
40;521
101;362
77;859
190;381
168;722
140;324
154;75
15;200
159;298
191;63
174;202
80;70
118;670
113;182
75;669
185;727
61;158
105;411
21;595
133;939
128;608
161;987
193;45
77;930
123;338
179;723
82;839
172;338
111;482
115;431
196;242
122;7
96;23
163;889
133;349
138;947
168;774
27;144
117;155
132;197
8;985
41;436
157;2
192;333
193;901
18;676
188;305
170;656
6;828
22;660
193;606
118;248
122;574
149;536
88;291
106;494
86;221
3;503
121;207
90;723
120;32
59;829
186;433
199;860
90;361
168;957
190;844
184;804
27;956
170;380
167;683
151;517
115;639
161;730
90;362
31;682
63;617
128;199
99;792
26;86
39;984
88;502
69;40
13;420
74;94
37;510
165;31
17;98
5;210
171;231
189;635
185;48
34;916
38;595
38;933
102;295
95;683
101;911
40;647
44;534
53;413
151;219
195;921
110;12
88;652
44;161
155;65
139;249
134;53
31;64
84;128
49;321
79;731
70;111
29;757
135;348
61;375
46;534
55;815
35;158
23;333
145;564
3;342
70;440
136;148
9;776
93;998
132;333
200;596
128;155
162;449
57;881
58;641
33;533
188;638
166;561
90;447
67;368
31;208
56;739
181;867
166;545
16;563
137;38
93;476
164;332
144;627
3;289
146;288
156;578
113;455
42;511
16;745
51;766
68;583
30;393
16;757
162;789
148;241
35;766
83;513
154;662
150;260
186;908
140;537
180;327
151;158
53;483
198;579
101;634
106;624
31;912
184;68
115;11
146;102
42;816
115;195
164;510
55;776
22;533
90;865
63;212
65;192
95;638
35;925
45;153
8;955
100;702
160;607
141;214
31;89
30;55
105;221
104;471
151;745
25;874
74;884
61;957
97;818
181;494
189;281
108;61
71;880
118;436
129;614
180;59
163;451
175;721
191;881
152;125
22;514
168;501
81;536
64;550
102;207
8;148
39;37
34;545
35;116
190;416
52;59
106;518
136;193
14;724
76;225
3;118
97;450
27;660
54;552
61;912
129;396
194;252
58;625
148;88
140;571
62;415
67;486
191;236
92;68
108;102
43;587
186;136
107;848
36;898
86;327
183;464
3;809
32;462
161;771
71;751
154;565
177;314
151;281
160;421
59;248
144;476
38;369
160;26
184;995
82;269
161;744
130;752
181;10
83;301
92;893
173;394
85;124
43;209
156;207
198;754
186;86
34;592
30;391
61;380
64;988
98;730
136;588
126;802
175;75
39;958
68;900
184;117
96;196
169;251
6;12
126;224
46;74
168;747
7;858
173;132
172;77
28;348
92;680
130;492
131;319
85;641
196;617
5;736
87;849
92;645
115;190
148;683
147;934
187;146
199;956
13;426
45;767
72;673
98;466
199;853
46;269
191;517
87;358
107;742
143;545
33;792
14;268
145;178
65;415
111;647
62;616
184;372
38;583
149;819
78;110
100;776
150;199
163;418
92;766
91;771
131;586
145;219
184;941
110;691
176;79
12;974
79;641
195;330
76;153
163;871
42;517
178;625
183;895
154;417
23;766
1;748
156;724
182;556
20;408
190;520
191;201
46;939
191;551
168;204
165;685
173;870
107;568
58;168
155;515
1;913
172;181
179;6
70;669
137;456
97;817
165;844
96;682
143;806
153;83
27;126
65;742
3;61
145;938
74;378
135;968
175;338
153;425
61;834
114;272
80;471
56;187
48;873
155;693
176;836
50;343
129;61
134;571
138;172
90;447
186;384
172;674
193;3
135;987
88;688
166;17
63;19
5;137
64;900
190;730
45;397
80;920
140;839
111;885
185;70
50;394
148;389
100;17
79;743
136;731
128;468
109;607
61;20
187;198
104;468
137;313
147;54
50;712
48;556
48;748
136;200
125;573
162;544
172;805
87;212
55;953
26;608
18;179
24;451
81;965
121;608
16;532
108;516
40;777
191;64
54;529
64;677
131;562
94;359
193;366
32;622
170;452
10;604
97;408
1;226
145;96
132;126
15;309
157;10
102;689
165;515
194;936
67;200
174;689
161;425
58;336
32;594
122;58
137;114
161;150
11;51
168;791
187;340
82;48
113;373
72;817
73;919
119;761
98;520
43;396
119;946
147;574
18;472
7;413
39;869
192;813
179;616
95;241
41;461
90;313
48;42
129;275
89;731
55;791
105;900
44;24
95;946
25;921
117;655
166;820
164;973
114;156
13;277
115;622
175;110
59;857
53;920
20;965
129;252
23;967
146;177
81;286
114;127
42;161
14;529
69;826
196;30
50;505
187;874
71;688
188;428
177;657
42;852
17;494
36;310
118;529
79;831
175;319
70;779
117;193
169;38
113;627
119;239
182;436
82;827
142;739
19;832
8;314
81;508
155;49
138;923
145;950
194;556
192;133
63;315
115;419
7;332
161;756
43;753
168;219
168;200
70;156
127;247
68;10
72;87
173;310
99;174
122;723
171;868
90;180
160;694
4;949
90;764
105;327
157;134
34;66
71;897
195;37
182;636
47;638
1;196
78;255
82;233
153;698
100;56
158;312
78;677
46;334
140;821
2;504
116;71
130;750
65;79
187;810
76;841
110;503
126;178
190;69
43;983
10;287
164;693
103;569
98;387
4;937
17;417
144;756
35;831
39;309
109;817
138;284
155;52
111;731
184;829
96;601
151;39
130;532
88;63
15;493
97;642
4;506
41;261
96;203
101;830
109;424
19;206
