businesses_id;orders_id
165;542
83;953
23;662
186;701
66;395
39;877
86;727
77;717
141;210
171;349
173;476
144;131
181;547
197;551
39;9
27;995
47;138
91;476
52;903
32;61
108;278
186;35
12;421
35;163
123;609
19;35
106;603
133;856
54;266
128;418
16;192
144;62
85;946
47;747
135;219
37;311
186;460
94;349
40;440
109;595
53;709
42;75
192;229
103;228
39;831
18;533
132;90
74;539
147;583
172;213
58;377
146;950
38;284
3;529
25;483
41;871
65;461
4;444
84;72
174;10
191;884
114;408
9;730
28;882
64;544
111;710
56;399
29;481
48;975
149;476
62;666
131;123
143;307
16;526
82;605
8;867
14;750
111;913
160;834
151;334
168;526
101;302
103;174
64;658
150;731
60;948
143;85
23;609
113;906
67;59
51;351
106;717
133;453
50;455
84;120
190;291
42;971
48;306
162;506
174;241
88;330
49;62
2;597
4;300
42;245
79;215
113;522
55;784
134;376
96;696
51;452
198;321
186;27
17;901
33;726
179;604
61;968
164;49
180;453
56;41
152;677
77;10
11;881
27;927
69;584
162;821
190;535
116;140
111;49
1;303
77;494
42;259
156;116
184;804
83;405
192;407
152;366
121;945
51;990
27;177
101;8
98;854
80;105
16;905
29;982
189;831
127;41
135;191
51;360
106;876
191;260
80;700
62;165
74;870
44;389
49;310
200;227
18;565
31;795
95;820
76;423
151;194
133;984
136;667
16;183
154;242
189;949
111;730
29;698
165;352
122;812
154;192
200;103
77;365
75;639
172;412
179;779
108;301
176;627
125;48
164;37
177;64
98;709
4;572
64;755
44;88
33;865
7;513
86;910
113;427
86;348
82;623
167;604
161;93
178;813
38;169
55;321
58;393
35;25
148;982
79;212
125;689
39;255
2;982
167;137
8;878
122;297
108;440
127;358
111;28
56;347
77;868
187;848
65;719
55;842
81;585
172;275
173;462
161;894
30;396
100;495
84;337
109;460
68;373
105;505
3;433
88;93
23;272
110;565
146;927
70;774
63;896
99;350
66;461
40;15
70;348
141;626
20;694
106;765
55;619
200;475
58;653
185;273
152;348
86;64
127;57
48;968
166;115
79;638
63;319
22;681
191;999
139;329
121;765
60;417
81;414
181;460
45;22
13;152
193;46
69;483
56;194
2;322
82;589
45;76
56;204
28;412
177;164
78;905
6;996
86;112
34;536
46;186
18;422
5;837
128;338
127;270
51;488
152;227
16;768
176;900
176;240
138;911
120;180
169;632
173;705
179;923
115;859
110;388
87;83
152;258
151;551
177;316
152;147
84;619
191;566
121;633
55;996
92;371
17;937
26;463
150;15
150;769
122;60
135;26
102;218
125;540
9;414
52;833
143;149
139;136
174;158
38;286
49;938
137;993
16;498
86;671
30;800
14;596
52;482
31;754
160;646
30;622
23;925
139;161
108;868
69;662
90;339
73;414
94;663
25;491
185;913
134;953
5;820
150;903
139;25
102;794
110;954
192;838
55;793
102;427
121;860
188;808
45;934
40;375
74;330
95;123
174;7
174;951
139;806
58;320
33;20
141;973
70;617
72;802
159;857
30;416
72;172
119;235
5;562
71;512
113;449
117;502
73;382
49;540
63;79
110;559
