products_id;orders_id
171;71
10;28
51;10
24;33
162;56
1;24
116;36
186;123
149;156
79;174
190;130
96;134
33;187
13;20
156;162
105;127
47;136
57;186
57;49
98;9
197;45
2;42
135;100
108;136
21;3
81;98
186;116
124;46
159;88
182;106
22;191
143;191
140;173
58;27
34;31
162;194
69;120
166;137
91;150
46;33
185;11
23;172
9;184
184;108
78;16
167;8
96;195
7;26
99;73
142;190
139;37
145;132
90;172
78;171
142;46
171;47
199;170
99;96
85;14
16;154
115;9
62;142
181;76
132;11
165;3
75;195
181;99
95;147
29;194
116;195
133;79
12;104
2;178
94;126
62;90
75;43
195;169
135;11
52;153
73;177
177;10
128;78
22;145
154;68
29;21
137;78
137;79
49;42
34;62
88;195
140;143
116;12
136;164
161;136
163;7
85;60
33;50
163;89
124;195
16;24
40;113
29;159
58;116
153;175
59;91
90;107
97;74
144;35
111;117
91;28
72;121
170;85
144;2
35;182
174;184
139;36
25;88
54;2
126;123
164;120
129;11
67;79
162;164
39;142
85;166
154;67
193;131
165;86
175;19
183;193
97;152
173;130
129;111
199;120
119;39
122;143
98;173
154;116
24;39
114;197
139;65
68;9
35;166
106;189
27;44
19;139
196;112
144;82
40;165
19;64
113;59
50;112
161;34
33;77
96;177
69;101
195;19
192;43
131;189
172;41
195;3
83;58
102;99
19;162
35;143
42;38
73;76
138;25
115;19
79;28
73;56
140;194
27;61
53;137
190;83
180;98
103;37
35;117
72;92
157;126
184;164
120;25
143;27
100;34
143;146
67;171
63;108
122;179
124;114
40;12
200;47
54;73
196;141
102;114
52;112
148;74
187;41
144;13
88;169
97;136
89;137
122;69
117;56
129;54
138;79
175;190
96;100
81;86
194;33
98;114
149;46
58;142
48;126
187;146
129;64
10;61
75;26
9;34
125;136
81;143
59;72
63;170
196;111
90;167
182;50
190;2
44;102
9;5
99;105
39;160
46;5
187;91
78;92
184;152
54;102
33;171
104;2
197;71
14;152
122;4
14;190
43;44
178;106
158;144
110;88
157;4
164;126
122;23
101;128
112;129
198;88
158;36
71;59
192;77
43;118
46;32
172;6
34;100
166;92
102;96
112;125
120;143
174;32
72;200
59;127
89;11
66;164
52;151
36;166
21;75
107;102
55;53
6;103
63;99
43;54
2;161
42;111
13;92
5;11
107;76
188;78
186;199
142;191
36;190
164;92
30;157
67;35
73;13
42;92
54;118
67;49
85;82
126;159
46;37
92;181
55;144
63;42
28;131
105;27
116;136
53;97
130;100
126;52
34;172
24;174
24;83
5;125
195;113
181;69
96;25
168;59
116;76
2;5
6;21
132;98
189;141
97;82
162;24
69;53
182;71
115;165
93;47
194;86
139;37
93;126
164;65
77;197
97;174
45;53
98;114
139;30
138;118
103;92
168;7
155;189
91;102
196;100
38;38
163;141
112;65
193;163
36;8
73;15
39;169
75;104
192;121
195;103
20;52
143;27
165;67
101;58
30;122
182;153
72;177
24;190
174;15
7;68
1;125
165;55
82;178
95;84
18;194
38;3
134;113
137;168
21;134
122;45
12;150
175;137
43;176
116;60
107;129
61;79
32;99
84;195
57;99
84;104
159;9
146;49
23;100
168;159
179;109
49;123
199;85
36;122
175;155
131;148
184;184
58;126
197;39
78;76
172;136
86;164
127;163
183;44
52;146
65;153
162;88
172;61
136;1
88;93
81;154
64;42
46;24
159;74
58;104
22;72
153;31
52;25
46;183
160;63
34;150
51;141
32;18
103;16
140;190
125;131
51;55
164;159
8;153
156;126
45;191
54;7
21;164
50;147
70;153
188;173
81;107
165;81
4;150
102;111
50;135
145;87
46;129
200;91
77;25
115;30
171;4
9;169
6;47
40;94
7;7
19;82
30;120
8;69
89;155
40;163
71;80
90;194
22;114
114;173
135;83
112;169
168;177
93;188
24;16
107;35
156;143
132;183
40;107
45;8
166;2
19;85
130;197
48;169
70;127
104;64
54;33
139;191
145;91
8;53
13;156
5;200
187;198
176;196
30;177
101;152
50;137
139;10
32;32
16;19
191;152
69;84
165;86
166;89
129;81
168;67
178;121
98;18
69;187
66;53
65;159
154;184
189;49
119;113
26;94
161;3
196;180
81;149
